t,x,y,z,dist_to_goal,min_dist_to_obs,step_count
6.729166666666666,1.1506864203037837,0.2668356760885531,1.004803946627101,3.30002591133075,0.44848936072632156,323
6.75,1.1570077923632924,0.26790697991420065,1.0048312211983377,3.2955994733142915,0.4487400329360928,324
6.770833333333333,1.1632964397935084,0.26909564655648505,1.004861753683965,3.2911004530978434,0.4489238286581069,325
6.791666666666666,1.16952732262246,0.2703896711329235,1.004892601730953,3.28655240451681,0.44904655736814064,326
6.8125,1.175725984892825,0.27174756339659667,1.004926223794961,3.2819752143653584,0.44915367794955613,327
6.833333333333333,1.181926968760575,0.27314310728823765,1.0049622511789043,3.277371307036559,0.4492785626487719,328
6.854166666666666,1.1881177231177207,0.27458264498547635,1.0050003024242973,3.2727422977250757,0.44941218078388806,329
6.875,1.194279182385023,0.2760589010019459,1.0050387245530075,3.2681046756069407,0.44955661262289154,330
6.895833333333333,1.2004426626653968,0.27753875862856653,1.0050790235631937,3.263468648172501,0.44975162974170774,331
6.916666666666666,1.206649021818293,0.27901120827479375,1.0051209310097244,3.2588209462279285,0.45001910376458426,332
6.9375,1.2128933072654504,0.2804783014061849,1.0051630584323668,3.254162758300756,0.4503566052389693,333
6.958333333333333,1.219163962915934,0.28191067774673295,1.0052045457104801,3.2495251410045376,0.45078966253883207,334
6.979166666666666,1.2254817491406211,0.2832799590279126,1.0052465984701628,3.2449206970969136,0.4513518725115048,335
7.0,1.2318557680093305,0.28460636132907813,1.0052888187711755,3.2403278552733488,0.4520273634715814,336
7.020833333333333,1.238256028983323,0.28591720374646645,1.005329711668621,3.2357403558010462,0.4527816252089099,337
7.041666666666666,1.24465880454156,0.2871909883828248,1.005371535896886,3.2311893010751804,0.45362763861363237,338
7.0625,1.2510930794302677,0.28839805534988033,1.005414551704173,3.2266840316983583,0.4546025855823757,339
7.083333333333333,1.2575993742585285,0.2895577609578389,1.005457386873523,3.2221866573554743,0.45570206605091707,340
7.104166666666666,1.2641719663682982,0.29069772802943417,1.0054985747666745,3.217677422858145,0.45689929372242105,341
7.125,1.2707873100706029,0.2917981332806508,1.0055389106702448,3.2131860446364513,0.45820554688029275,342
7.145833333333333,1.2774539232160314,0.29283186141459616,1.0055789183288881,3.2087311264026974,0.45964956113876104,343
7.166666666666666,1.2841856995504615,0.2938205814380695,1.0056188209456345,3.2042873357775123,0.461216712263631,344
7.1875,1.290950612919117,0.29479388348306357,1.0056594917735522,3.199847179189863,0.46286822317547655,345
7.208333333333333,1.2977119087192894,0.2957369026461616,1.0057013906643169,3.195443028952544,0.46460374762860307,346
7.229166666666666,1.3044844806447966,0.2966316344498122,1.0057435537929127,3.1910823218215496,0.4664449468880815,347
7.25,1.3112945436943326,0.2975095457518414,1.00578594276466,3.186724690115641,0.4683730417210425,348
7.270833333333333,1.3181226913642794,0.29840987381914214,1.0058298857778645,3.182347322142858,0.47034456700578137,349
7.291666666666666,1.324944495790024,0.29932348502218126,1.0058738762158603,3.177970906594123,0.472357756474093,350
7.3125,1.3317775870402637,0.300232696563203,1.0059176633885893,3.173601192737925,0.47443569534304536,351
7.333333333333333,1.338638430754347,0.301168042924395,1.0059623587837667,3.169203645400716,0.47655784782196814,352
